order1_pickup_latitude,order1_pickup_longitude,order2_pickup_latitude,order2_pickup_longitude,order3_pickup_latitude,order3_pickup_longitude,trip_start_timestamp,order1_fare,order1_tips,order2_fare,order2_tips,order3_fare,order3_tips,best
167.0,754.0,411.0,545.0,474.0,204.0,2016-02-01 08:00:00,17.5227,0.3636,17.33,0.2727,18.7273,0.8136,order3
744.0,605.0,199.0,510.0,170.0,351.0,2016-02-01 08:00:00,10.8409,0.8182,15.9436,0.1818,9.7727,0.8182,order2
681.0,196.0,395.0,408.0,686.0,500.0,2016-02-01 08:00:00,18.5227,0.6318,19.33,0.2727,7.9773,0.5455,order2
686.0,500.0,754.0,410.0,419.0,615.0,2016-02-01 08:00:00,10.8636,0.7273,15.3664,0.9955,17.3864,2.0682,order3
225.0,6.0,210.0,470.0,294.0,113.0,2016-02-01 08:00:00,20.7273,2.4273,10.8864,0.2727,18.7273,1.8718,order1
433.0,757.0,395.0,408.0,411.0,545.0,2016-02-01 08:00:00,40.1136,6.2355,11.0909,0.1818,19.1482,0.2909,order1
166.0,725.0,199.0,510.0,37.0,370.0,2016-02-01 08:00:00,11.0909,0.3636,16.1255,0.1091,11.2727,0.3636,order2
225.0,6.0,395.0,408.0,599.0,346.0,2016-02-01 08:00:00,19.7045,1.7173,15.75,0.4727,17.2955,1.1,order1
399.0,780.0,681.0,196.0,395.0,408.0,2016-02-01 08:00:00,15.7682,0.9591,14.5227,0.4682,10.9436,0.2727,order1
161.0,649.0,527.0,24.0,700.0,659.0,2016-02-01 08:00:00,10.2955,0.2909,17.3409,0.9182,7.4545,0.5455,order2
45.0,163.0,411.0,545.0,684.0,503.0,2016-02-01 08:00:00,8.2727,0.6818,17.4091,0.1818,10.3864,0.7273,order2
385.0,478.0,18.0,610.0,642.0,32.0,2016-02-01 08:00:00,14.1818,0.2727,12.3527,0.4545,16.2273,0.8136,order3
599.0,346.0,419.0,615.0,207.0,239.0,2016-02-01 08:00:00,17.5227,0.2864,17.1818,0.9045,18.5,2.6173,order3
18.0,610.0,167.0,754.0,778.0,172.0,2016-02-01 08:00:00,11.4318,0.4727,15.6709,0.2727,18.6818,0.8136,order3
225.0,6.0,225.0,6.0,716.0,107.0,2016-02-01 08:00:00,21.5909,2.5036,19.1818,1.8182,15.5682,0.4682,order1
18.0,610.0,173.0,203.0,744.0,605.0,2016-02-01 08:00:00,15.6818,0.7455,23.9545,2.7036,7.9318,0.8182,order2
411.0,545.0,18.0,610.0,225.0,6.0,2016-02-01 08:00:00,17.8409,0.1818,10.9318,0.3818,19.1364,1.9264,order3
599.0,346.0,454.0,453.0,695.0,366.0,2016-02-01 08:00:00,18.4091,0.0,42.8727,5.7664,15.2727,1.1,order2
599.0,346.0,695.0,366.0,411.0,545.0,2016-02-01 08:00:00,19.25,1.1,14.6591,0.9182,15.9664,0.3636,order1
18.0,610.0,526.0,511.0,95.0,781.0,2016-02-01 08:00:00,11.5682,0.3636,10.5227,0.4545,13.0118,0.2727,order3
411.0,545.0,660.0,120.0,744.0,605.0,2016-02-01 08:00:00,12.3636,0.5455,18.4318,0.6318,8.2727,0.9091,order2
686.0,500.0,411.0,545.0,210.0,470.0,2016-02-01 08:00:00,10.6136,0.1818,12.7955,0.4727,18.0227,0.1818,order3
695.0,366.0,618.0,407.0,686.0,500.0,2016-02-01 08:00:00,18.5682,1.1,17.2273,0.0,10.4318,0.4545,order1
210.0,470.0,599.0,346.0,158.0,270.0,2016-02-01 08:00:00,19.3636,0.2727,16.5455,0.6318,11.0818,0.6818,order1
18.0,610.0,686.0,500.0,18.0,610.0,2016-02-01 08:00:00,14.7045,0.3818,7.5227,0.2727,16.75,0.2727,order3
411.0,545.0,411.0,545.0,18.0,610.0,2016-02-01 08:00:00,10.9091,0.3636,14.2955,0.4727,11.1818,0.1818,order2
599.0,346.0,411.0,545.0,695.0,366.0,2016-02-01 08:00:00,19.1136,0.8136,16.7045,0.3636,19.9091,1.1,order3
399.0,780.0,441.0,771.0,173.0,203.0,2016-02-01 08:00:00,14.1818,0.9955,42.7045,6.4655,19.0,1.9173,order2
686.0,500.0,210.0,470.0,599.0,346.0,2016-02-01 08:00:00,7.8864,0.9091,11.0682,0.3636,19.0,1.1,order3
411.0,545.0,754.0,410.0,109.0,708.0,2016-02-01 08:00:00,13.7618,0.1818,12.1391,0.7909,14.4545,0.4727,order3
744.0,605.0,433.0,757.0,744.0,605.0,2016-02-01 08:00:00,10.8182,0.5455,42.0864,7.2318,7.6136,0.8182,order2
109.0,708.0,526.0,511.0,411.0,545.0,2016-02-01 08:00:00,16.7045,0.2727,8.4318,0.5455,14.4318,0.5455,order1
419.0,615.0,438.0,199.0,660.0,120.0,2016-02-01 08:00:00,14.5173,0.6364,18.6364,0.9182,21.4318,0.8136,order3
716.0,107.0,294.0,113.0,728.0,277.0,2016-02-01 08:00:00,18.9773,1.1,22.2727,2.5136,16.1818,0.8136,order2
225.0,6.0,556.0,288.0,474.0,204.0,2016-02-01 08:00:00,25.1136,2.8991,20.5,1.1,15.8409,0.4682,order1
688.0,206.0,199.0,510.0,173.0,203.0,2016-02-01 08:00:00,21.4318,1.1,14.8409,0.1818,21.9091,1.9864,order3
199.0,510.0,728.0,277.0,64.0,231.0,2016-02-01 08:00:00,12.4436,0.8182,20.6364,0.8136,7.2273,0.5909,order2
660.0,120.0,207.0,239.0,395.0,408.0,2016-02-01 08:00:00,16.1591,0.6318,15.6591,1.2591,17.1364,0.3636,order3
575.0,547.0,395.0,408.0,744.0,605.0,2016-02-01 08:00:00,10.75,0.0909,20.4091,0.3636,7.9545,0.7273,order2
413.0,636.0,37.0,370.0,438.0,199.0,2016-02-01 08:00:00,20.6545,2.0409,11.25,0.6818,15.5455,0.4682,order1
744.0,605.0,395.0,408.0,744.0,605.0,2016-02-01 08:00:00,8.0227,0.7273,13.5682,0.4727,10.5909,0.8182,order2
18.0,610.0,411.0,545.0,95.0,781.0,2016-02-01 08:00:00,17.5227,0.2909,14.2727,0.7273,19.3182,0.2909,order3
744.0,605.0,130.0,532.0,744.0,605.0,2016-02-01 08:00:00,10.2045,0.3636,12.5345,0.4545,8.6364,0.4545,order2
395.0,408.0,411.0,545.0,385.0,478.0,2016-02-01 08:00:00,13.0118,0.2727,18.6818,0.4545,12.6709,0.1818,order2
395.0,408.0,474.0,204.0,395.0,408.0,2016-02-01 08:00:00,16.1136,0.5455,16.6364,0.1818,10.6027,0.2909,order2
744.0,605.0,395.0,408.0,688.0,206.0,2016-02-01 08:00:00,8.1818,0.5455,14.4436,0.2727,19.3409,1.1,order3
744.0,605.0,18.0,610.0,167.0,754.0,2016-02-01 08:00:00,8.5227,0.4545,14.7273,0.4727,17.9545,0.2727,order3
411.0,545.0,45.0,163.0,688.0,206.0,2016-02-01 08:00:00,15.9318,0.4727,11.2955,1.0455,17.9773,1.1,order3
385.0,478.0,556.0,288.0,199.0,510.0,2016-02-01 08:00:00,10.25,0.8364,16.8636,0.4682,15.8182,0.4727,order2
